Materia,RA,Inglés,Español
400-2 Interacción Humano Computador,c,An ability to designcomma implementcomma and evaluate a computer-based systemcomma processcomma componentcomma or program to meet desired needs.,Habilidad para diseñarcomma implementarcomma y evaluar un sistema basado en computadorascomma procesoscomma componentes o programas que cumplan necesidades específicas.
400-2 Interacción Humano Computador,e / RAI1,An understanding of professionalcomma ethicalcomma legalcomma security and social issues and responsibilities.,Comprender la responsabilidad ética y profesional.
400-2 Interacción Humano Computador,h / RAI4,Recognition of the need for and an ability to engage in continuing professional development.,Reconocer la necesidadcomma y tener la habilidad para involucrarse en el aprendizaje a lo largo de la vida.
400-2 Interacción Humano Computador,RAI5,A knowledge of contemporary issues.,Comprender temas contemporáneos.
400-2 Sistemas Operativos,a,An ability to apply knowledge of computing and mathematics appropriate to the discipline.,Habilidad para aplicar conocimientos de computación y matemáticas apropiados a su disciplina
400-2 Sistemas Operativos,e / RAI1,An understanding of professionalcomma ethicalcomma legalcomma security and social issues and responsibilities.,Comprender la responsabilidad ética y profesional.
400-2 Sistemas Operativos,g,An ability to analyze the local and global impact of computing on individualscomma organizationscomma and society.,Habilidad para analizar el impacto local y global de la computación sobre los individuoscomma organizaciones y sociedad
400-2 Sistemas Operativos,k,Apply computer science theory and software development fundamentals to produce computing-based solutions.,Habilidad para aplicar teoría de ciencias computacionales y fundamentos de desarrollo de software para producir soluciones basadas en computación.
500-1 Ingeniería de Software II,c,An ability to designcomma implementcomma and evaluate a computer-based systemcomma processcomma componentcomma or program to meet desired needs.,Habilidad para diseñarcomma implementarcomma y evaluar un sistema basado en computadorascomma procesoscomma componentes o programas que cumplan necesidades específicas.
500-1 Ingeniería de Software II,d / RAI6,An ability to function effectively on teams to accomplish a common goal.,Tener la capacidad para trabajar como parte de un equipo multidisciplinario.
500-1 Ingeniería de Software II,f / RAI2,An ability to communicate effectively with a range of audiences.,Tener la habilidad para comunicarse efectivamente de forma oral y escrita en español.
500-1 Ingeniería de Software II,j / RAI7,An ability to leadcomma manage and undertake projects.,Reconocer la necesidad y tener las habilidades para emprender.
500-1 Dirección de Proyectos Informáticos,d / RAI6,An ability to function effectively on teams to accomplish a common goal.,Tener la capacidad para trabajar como parte de un equipo multidisciplinario.
500-1 Dirección de Proyectos Informáticos,e / RAI1,An understanding of professionalcomma ethicalcomma legalcomma security and social issues and responsibilities.,Comprender la responsabilidad ética y profesional.
500-1 Dirección de Proyectos Informáticos,f / RAI2,An ability to communicate effectively with a range of audiences.,Tener la habilidad para comunicarse efectivamente de forma oral y escrita en español.
500-1 Dirección de Proyectos Informáticos,g,An ability to analyze the local and global impact of computing on individualscomma organizationscomma and society.,Habilidad para analizar el impacto local y global de la computación sobre los individuoscomma organizaciones y sociedad
500-1 Sistemas Distribuidos,b,An ability to analyze a problemcomma and identify and define the computing requirements appropriate to its solution.,Habilidad para analizar un problemacomma e identificar y definir los requerimientos computacionales apropiados para su solución.
500-1 Sistemas Distribuidos,c,An ability to designcomma implementcomma and evaluate a computer-based systemcomma processcomma componentcomma or program to meet desired needs.,Habilidad para diseñarcomma implementarcomma y evaluar un sistema basado en computadorascomma procesoscomma componentes o programas que cumplan necesidades específicas.
500-1 Sistemas Distribuidos,h / RAI4,Recognition of the need for and an ability to engage in continuing professional development.,Reconocer la necesidadcomma y tener la habilidad para involucrarse en el aprendizaje a lo largo de la vida.
500-1 Sistemas Distribuidos,k,Apply computer science theory and software development fundamentals to produce computing-based solutions.,Habilidad para aplicar teoría de ciencias computacionales y fundamentos de desarrollo de software para producir soluciones basadas en computación.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
